,index,method,dataset,model_name,backbone,width_mult,depth_mult,scenario,B,P,num_states,budget,acc@1,acc@5,acc1_std,acc5_std
37,37,deesil,imagenet_fauna,shufflenet_w1.6_d0.1,shufflenet,1.6,0.1,equi,10,10,10,1500000.0,21.85,54.07,,
38,38,deesil,imagenet_fauna,shufflenet_w1.6_d0.1,shufflenet,1.6,0.1,equi,25,25,4,1500000.0,39.64,71.85,,
39,39,deesil,imagenet_fauna,shufflenet_w1.6_d0.1,shufflenet,1.6,0.1,semi,40,6,11,1500000.0,33.31,68.97,,
40,40,deesil,imagenet_fauna,shufflenet_w1.6_d0.1,shufflenet,1.6,0.1,semi,40,10,7,1500000.0,38.28,71.74,,
41,41,deesil,imagenet_fauna,shufflenet_w1.6_d0.1,shufflenet,1.6,0.1,semi,40,15,5,1500000.0,46.21,77.4,,
42,42,deesil,imagenet_fauna,shufflenet_w2.6_d0.1,shufflenet,2.6,0.1,equi,5,5,20,3000000.0,13.62,42.51,,
43,43,deesil,imagenet_fauna,shufflenet_w2.6_d0.1,shufflenet,2.6,0.1,equi,10,10,10,3000000.0,30.26,65.71,,
44,44,deesil,imagenet_fauna,shufflenet_w2.6_d0.1,shufflenet,2.6,0.1,equi,25,25,4,3000000.0,42.4,74.4,,
45,45,deesil,imagenet_fauna,shufflenet_w2.6_d0.1,shufflenet,2.6,0.1,semi,40,6,11,3000000.0,37.5,72.26,,
46,46,deesil,imagenet_fauna,shufflenet_w2.6_d0.1,shufflenet,2.6,0.1,semi,40,10,7,3000000.0,47.83,78.28,,
47,47,deesil,imagenet_fauna,shufflenet_w2.6_d0.1,shufflenet,2.6,0.1,semi,40,15,5,3000000.0,49.78,79.03,,
48,48,deesil,imagenet_fauna,shufflenet_w3.0_d0.1,shufflenet,3.0,0.1,equi,5,5,20,6000000.0,20.57,53.58,,
49,49,deesil,imagenet_fauna,shufflenet_w3.0_d0.1,shufflenet,3.0,0.1,equi,10,10,10,6000000.0,29.1,65.33,,
50,50,deesil,imagenet_fauna,shufflenet_w3.0_d0.1,shufflenet,3.0,0.1,equi,25,25,4,6000000.0,42.86,76.06,,
51,51,deesil,imagenet_fauna,shufflenet_w3.0_d0.1,shufflenet,3.0,0.1,semi,40,6,11,6000000.0,35.46,70.85,,
52,52,deesil,imagenet_fauna,shufflenet_w3.0_d0.1,shufflenet,3.0,0.1,semi,40,10,7,6000000.0,45.77,77.11,,
53,53,deesil,imagenet_fauna,shufflenet_w3.0_d0.1,shufflenet,3.0,0.1,semi,40,15,5,6000000.0,49.34,78.3,,
54,54,deesil,imagenet_flora,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,equi,5,5,20,1500000.0,13.72,45.36,,
55,55,deesil,imagenet_flora,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,equi,10,10,10,1500000.0,26.46,62.58,,
56,56,deesil,imagenet_flora,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,equi,25,25,4,1500000.0,43.84,77.12,,
57,57,deesil,imagenet_flora,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,semi,40,6,11,1500000.0,39.34,74.08,,
58,58,deesil,imagenet_flora,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,semi,40,10,7,1500000.0,46.92,78.92,,
59,59,deesil,imagenet_flora,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,semi,40,15,5,1500000.0,51.3,81.86,,
